race,gender,politics,home_tap_safe,campus_tap_safe,bottles_safe,trusts_govt,community_influenced
White/Caucasian,Woman,Consistently liberal,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree
White/Caucasian,Man,Consistently liberal,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree
Asian,Man,Mostly conservative,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
White/Caucasian,Man,Mixed,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Woman,Mostly liberal,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree
Asian,Woman,Mostly liberal,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree
"White/Caucasian,Hispanic or Latino",Man,Mixed,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree
Black or African American,Woman,Mixed,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
Asian,Transgender man,Prefer not to answer,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree
Asian,Woman,Mostly liberal,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
White/Caucasian,Gender not listed. My gender is,Prefer not to answer,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree
"White/Caucasian,Hispanic or Latino",Woman,Prefer not to answer,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree
White/Caucasian,Man,Mixed,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
White/Caucasian,Man,Mostly liberal,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree
Hispanic or Latino,Non-binary,Consistently liberal,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Strongly agree
"White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree
Black or African American,Woman,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree
White/Caucasian,Woman,Mostly liberal,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree
,,,,,,,
Black or African American,Non-binary,Consistently liberal,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat disagree
Black or African American,Woman,Mostly conservative,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,
Asian,Woman,Prefer not to answer,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree
White/Caucasian,Man,Mostly liberal,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree
"White/Caucasian,Hispanic or Latino",Woman,Mostly liberal,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree
Asian,Man,Prefer not to answer,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
